label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_007,20200906_m1_ASD_6uM_c8_Pos_fsPRM_2uL_008,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_003,20200906_m1_ASD_6uM_c8_Pos_FS_2uL_004,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_008,20200912_m1_ASD_6uM_c8_Neg_fsPRM_2uL_009,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_003,20200912_m1_ASD_6uM_c8_Neg_FS_2uL_004
b,2,2,1,139.050781,0.762,0.670972,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,3.730989,139.050781,15061.48,9230.69,13741.82,16120.27,0.00,0.00,0.00,0.00
b,3,3,1,139.050766,0.850,0.621531,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,3.840724,139.050766,27331.33,8098.69,29076.98,13989.49,0.00,0.00,0.00,0.00
b,4,4,1,139.050842,1.014,0.611571,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,3.292049,139.050842,11071.51,12311.90,14941.87,4160.60,0.00,0.00,0.00,0.00
b,5,5,1,139.050797,1.146,0.641122,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,3.621254,139.050797,10162.41,15411.03,9782.03,6112.44,0.00,0.00,0.00,0.00
b,6,6,1,139.050720,1.282,0.795249,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,4.169929,139.050720,13889.08,9415.00,7270.93,5622.30,0.00,0.00,0.00,0.00
b,7,7,1,139.050735,2.167,0.776080,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,4.060194,139.050735,14611.47,4765.75,5199.25,13699.37,0.00,0.00,0.00,0.00
b,8,8,1,139.050766,2.514,0.541429,[M-H]-,C12 PARENT,Imidazoleacetic acid,C05828,C6H8N2O2,-1.000,3.840724,139.050766,15828.18,4979.32,4818.84,6826.94,0.00,0.00,0.00,0.00
b,10,10,1,137.024597,0.353,0.576827,[M-H]-,C12 PARENT,p-hydroxybenzoate,C00156|C00587,C7H6O3,10.527,1.336298,137.024597,17399.31,8246.31,8561.82,13663.95,231006.31,65734.71,130525.25,85930.19
b,11,11,3,137.024536,13.438,0.644138,[M-H]-,C12 PARENT,p-hydroxybenzoate,C00156|C00587,C7H6O3,2.558,0.890865,137.024536,216651.39,301972.00,218159.36,206344.75,43894.17,90101.00,44706.96,65685.27
b,12,12,1,122.024689,0.567,0.515321,[M-H]-,C12 PARENT,nicotinate,C00253,C6H5NO2,10.633,0.500187,122.024689,0.00,0.00,0.00,0.00,89632.12,54777.34,60441.32,52984.36
b,13,13,1,122.024940,3.465,0.749155,[M-H]-,C12 PARENT,nicotinate,C00253,C6H5NO2,7.735,1.563083,122.024940,8063.54,0.00,7442.06,13604.39,45925.43,28080.05,26688.33,29310.83
b,14,14,1,122.024940,4.076,0.624597,[M-H]-,C12 PARENT,nicotinate,C00253,C6H5NO2,7.124,1.563083,122.024940,6285.86,2824.51,12174.06,6131.17,39734.60,40346.15,26121.51,23005.33
b,15,15,1,289.031677,5.437,0.687994,[M-H]-,C12 PARENT,D-sedoheptulose-1/7-phosphate,C00281|C05382|C06222,C7H15O10P,1.513,4.645744,289.031677,0.00,0.00,0.00,0.00,27881.59,14319.72,12330.31,18094.71
b,16,16,1,125.035561,7.182,0.510857,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,4.582,0.732213,125.035561,0.00,0.00,0.00,0.00,8463.28,7735.66,18754.42,22471.60
b,17,17,1,125.035561,7.545,0.685230,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,4.945,0.732213,125.035561,0.00,0.00,0.00,0.00,19756.59,12886.17,19911.40,18488.39
b,18,18,1,125.035568,9.169,0.587137,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,6.569,0.671195,125.035568,0.00,0.00,0.00,0.00,32217.73,24798.65,34072.75,23706.53
b,19,19,1,125.035583,9.261,0.538460,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,6.661,0.549160,125.035583,0.00,0.00,0.00,0.00,29090.48,25225.49,23785.48,22985.98
b,20,20,1,125.035553,9.429,0.515881,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,6.829,0.793231,125.035553,0.00,0.00,0.00,0.00,30189.21,26681.74,32728.84,29058.30
b,21,21,1,125.035561,10.001,0.812996,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,7.401,0.732213,125.035561,0.00,0.00,0.00,0.00,32689.90,22747.68,24970.72,28937.01
b,22,22,1,125.035568,10.419,0.576837,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,7.819,0.671195,125.035568,0.00,0.00,0.00,0.00,26732.91,25257.95,24598.38,33657.11
b,23,23,1,125.035522,10.509,0.705854,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,7.909,1.037302,125.035522,0.00,0.00,0.00,0.00,28230.38,25055.09,28073.04,18903.64
b,24,24,1,125.035568,10.686,0.524756,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,8.086,0.671195,125.035568,0.00,0.00,0.00,0.00,30111.45,29501.40,31225.95,27537.65
b,25,25,1,125.035507,11.713,0.561800,[M-H]-,C12 PARENT,thymine,C00178,C5H6N2O2,9.113,1.159337,125.035507,0.00,0.00,0.00,0.00,28672.60,30103.02,13955.01,25227.16
b,26,26,1,128.035339,5.539,0.835109,[M-H]-,C12 PARENT,Pyroglutamic acid,C01879,C5H7NO3,2.151,0.119176,128.035339,0.00,0.00,0.00,0.00,25412.80,24985.52,10971.71,19325.82
b,27,27,1,128.035385,7.203,0.673707,[M-H]-,C12 PARENT,Pyroglutamic acid,C01879,C5H7NO3,0.487,0.476706,128.035385,0.00,0.00,0.00,0.00,20088.50,24693.97,2053.32,15398.98
